,0
0,https://img.scryfall.com/cards/normal/front/4/6/46184f97-d5c9-4a98-9fd9-e19057ce9b7e.jpg?1562547005
1,https://img.scryfall.com/cards/normal/front/b/6/b62ca800-ec24-476e-b56f-834eef9622a9.jpg?1562553915
2,https://img.scryfall.com/cards/normal/front/f/3/f31cf014-7ac9-428b-9ce9-8ba5ebfdd252.jpg?1562557714
3,https://img.scryfall.com/cards/normal/front/2/0/20f18447-2853-469b-b3b3-20d6bcafa6e7.jpg?1562544882
4,https://img.scryfall.com/cards/normal/front/b/f/bf92ae01-9d1e-4b41-b068-096648daadf6.jpg?1562554491
5,https://img.scryfall.com/cards/normal/front/2/8/28bac7a8-d3bb-4032-b30b-db7328e4d2fc.jpg?1562545352
6,https://img.scryfall.com/cards/normal/front/b/e/be2326dd-78c9-46bb-a459-306602939a41.jpg?1562554403
7,https://img.scryfall.com/cards/normal/front/b/2/b261067f-b5de-41cc-ba9e-6ef4c061e170.jpg?1562553771
8,https://img.scryfall.com/cards/normal/front/6/f/6fdd01bd-ab41-4005-8807-46db0cfc4da4.jpg?1562549580
9,https://img.scryfall.com/cards/normal/front/7/a/7a5cd03c-4227-4551-aa4b-7d119f0468b5.jpg?1562550217
10,https://img.scryfall.com/cards/normal/front/8/f/8f7980d4-da43-4d6d-ad16-14b8a34ae91d.jpg?1562551569
11,https://img.scryfall.com/cards/normal/front/7/6/762d12cd-a517-4604-97ac-b93d1a94a757.jpg?1562549909
12,https://img.scryfall.com/cards/normal/front/a/2/a285aa3f-bcfb-4fc3-8441-85a56c72a3e4.jpg?1562552662
13,https://img.scryfall.com/cards/normal/front/f/8/f835ff5d-e03d-4a93-98bb-704eaa1e2b64.jpg?1562557991
14,https://img.scryfall.com/cards/normal/front/6/f/6fa1f42f-1729-46ea-99c6-015d66c627d4.jpg?1562549567
15,https://img.scryfall.com/cards/normal/front/4/1/41764237-fa31-4b27-92ff-712a42d350b9.jpg?1562546788
16,https://img.scryfall.com/cards/normal/front/0/e/0ed53483-4bec-491b-9ae6-afc6faf122a2.jpg?1562543814
17,https://img.scryfall.com/cards/normal/front/8/2/82419eea-a397-41df-b526-f3bea857bbbd.jpg?1562550715
18,https://img.scryfall.com/cards/normal/front/d/7/d79599f4-7038-4b8f-9a44-e58b650f21a7.jpg?1562555972
19,https://img.scryfall.com/cards/normal/front/5/5/55552a2b-1861-4235-a60d-ccabb4839d54.jpg?1562547914
20,https://img.scryfall.com/cards/normal/front/a/e/ae635d18-5d22-494c-8bc7-5d52f3021cbb.jpg?1562553519
21,https://img.scryfall.com/cards/normal/front/c/a/ca570876-23b2-4915-a5b9-20f1fa976fab.jpg?1562555122
22,https://img.scryfall.com/cards/normal/front/4/0/407110e9-19af-4ff5-97b2-c03225031a73.jpg?1562546729
23,https://img.scryfall.com/cards/normal/front/b/b/bba2cd91-84a7-4d05-9a0c-55440491be1e.jpg?1562554259
24,https://img.scryfall.com/cards/normal/front/3/a/3a67d7ae-3117-433f-ad82-44a4f015fecf.jpg?1562546342
25,https://img.scryfall.com/cards/normal/front/a/4/a4d17394-b9c4-43f6-9a6d-2c7c7ecb1d74.jpg?1562552811
26,https://img.scryfall.com/cards/normal/front/c/9/c9c17e3b-4d7f-4472-afe1-8e9358b82f2c.jpg?1562555097
27,https://img.scryfall.com/cards/normal/front/e/0/e0df1e5f-8cef-4e13-babf-4254a85ac46b.jpg?1562556565
